"","species","temp","injury_level","recov","replicate","TRT","Lactic_acid","Alanine","Valine","Leucine","Phosphoric_acid","Glycerol","Isoleucine","Proline","Glycine","Succinic_acid","Fumaric_acid","Pipecolic_acid","Serine","Threonine","Malic_acid","Methionine","Aspartate","GABA","Glutamate","Phenylalanine","Asparagine","Putrescine","Ornithine","Citric_acid","Fructose","Glucose","Lysine","Tyrosine","Mannitol","Inositol","Sucrose","Trehalose"
"83","SA",-5,"H","D",3,"H_D",1.201510283,22.03218402,2.4320631,1.471913066,12.65491015,0.62267536,1.676219469,4.343438011,2.429305215,0.692263755,1.096979339,0.365369295,1.966829654,1.810116752,1.98448854,1.098104105,1.201593248,2.263808881,8.333155093,1.528111792,5.736231994,0.191672099,1.155562103,1.475351314,0.783468989,27.91419053,5.206586003,5.246024795,4.327097351,0.651228221,0.515216352,7.035803004
"84","SA",-5,"H","D",4,"H_D",1.669969108,24.66823588,2.318019325,1.181407122,12.12255714,0.648533938,1.26646743,3.931154187,2.479699882,0.401922806,0.412573027,0.229768857,1.76888113,1.496173419,1.419623726,0.751304867,0.587142603,1.852822736,8.175905,0.780885736,4.664090691,0.132948035,0.662121381,0.870974993,0.763428999,32.76134523,3.538548642,5.103550934,3.234769879,0.463042512,0.361882057,9.500832481
"85","SA",-5,"H","D",5,"H_D",0.696607159,18.49281126,1.590401399,0.996238436,7.922738901,0.49869912,1.068097076,2.996373276,1.5119996,0.363906807,0.393680872,0.255053463,1.138745722,1.16678163,1.139078215,0.674649123,0.407066266,1.251586294,5.718418877,0.72554827,3.24377469,0.093795797,0.496605376,0.722021205,0.526739735,22.7045498,2.714140286,4.125015075,3.97090536,0.463771761,0.40927203,4.376769169
"86","SA",-5,"H","D",6,"H_D",0.418743084,23.9634684,2.929822072,1.524205971,14.72256726,0.054933043,1.916781388,4.126272223,2.811590479,0.382144847,0.306612168,0.329793553,2.575695039,2.147533575,1.264448468,0.806963489,1.41673086,2.749668217,17.25148523,1.246986924,5.754629326,0.104407119,0.670341993,1.424179075,0.723557114,27.83024246,7.22649468,16.52949643,5.738194621,0.308197996,0.068217057,8.960904785
"87","SA",-5,"H","D",7,"H_D",0.794527163,22.18087518,2.296203167,1.12327416,13.15858996,0.004217517,1.377652327,4.296118957,3.743385433,0.298070678,0.30807849,0.323462763,2.284366887,1.862469533,1.545721516,0.45847988,0.876197963,2.866475704,14.83869024,0.872808411,4.208939194,0.063231346,0.584568139,1.474759181,0.457269028,32.19769841,6.983849357,12.7442202,4.391530969,0.395069317,0.055890605,7.58732403
"88","SA",-5,"H","D",8,"H_D",0.37945544,30.08111584,2.87239295,1.554298057,18.0918799,0.461827756857143,2.06338839,5.069399863,3.866341304,0.464999029,0.486847475,0.1715881,2.908504985,2.207036534,1.76325833,0.944147955,1.772272526,3.144402647,19.80835314,1.36208277,6.987906442,0.220041386,0.945566522,2.03230664,0.789360902,43.05525086,10.54106363,33.60981072,4.033992094,0.180698537,0.189729877,9.415525936
"89","SA",-5,"H","R",1,"H_R",0.48254996,3.737497241,2.112428407,0.49344069,20.20744781,0.386803862,1.012126466,3.302411289,1.408164687,0.333839455,0.399493384,0.222912263,1.754988625,0.959455479,1.399978412,0.935236663,0.60221765,1.819467198,5.837580684,0.94694063,14.47843929,0.128874657,0.548616931,0.911319278,1.603124152,35.4514267,5.496248537,4.19910229,0.571088095,0.589351358,0.643388242,22.01344477
"90","SA",-5,"H","R",2,"H_R",1.167026329,3.967353939,1.690495061,0.678168036,23.53892076,0.770704001,0.900889628,4.74078763,1.460549038,0.996125714,0.969309374,0.314271624,1.709719467,1.046247633,2.261717499,0.808512664,0.76183088,1.661013832,6.06760135,1.055327855,11.36531977,0.1538817,0.810633551,1.330850478,0.617887416,50.58941919,4.854375519,2.980777651,0.654384551,0.591263524,0.458842465,24.76994823
"91","SA",-5,"H","R",3,"H_R",1.180323147,3.859276286,3.083804763,0.729591345,16.21258422,0.516815019,1.78385704,6.601780084,1.334072799,0.605219657,0.949513987,0.331640324,1.977079484,1.354410939,1.845719603,1.095319531,0.867216759,1.549527247,5.338150685,1.53741844,12.35488693,0.357272438,1.116426835,1.024683173,0.967954763,35.76906751,5.712771333,3.975124069,0.701400652,0.688637396,0.499906963,38.58003457
"92","SA",-5,"H","R",4,"H_R",1.286042,2.718492644,0.685712689,0.46215302,15.88859693,0.490152823,0.390117751,4.396442859,0.892927818,0.531765223,0.403277647,0.248285259,0.870565998,0.510119315,1.467319561,0.579749117,0.501522474,1.23071419,4.380458754,0.535539084,7.153286495,0.095560594,0.513000713,0.953285172,0.298717323,47.30929246,4.43882263,2.323987932,0.240074835,0.525979301,0.387477489,25.59339495
"93","SA",-5,"H","R",5,"H_R",0.506563141,3.174861813,1.60197911,0.387453971,14.6540558,0.360422714,0.93555415,3.539021074,0.961691974,0.366694047,0.316962833,0.181521631,1.151816415,0.785509348,1.245802327,0.597976467,0.478325353,1.088288813,4.404417316,0.67587794,10.24419074,0.194957736,0.557446769,0.704530231,0.594804182,30.50231776,4.060722659,2.686701858,0.78257267,0.447994546,0.285977723,22.47773733
"94","SA",-5,"H","R",7,"H_R",1.350078389,3.841933587,0.844383744,0.648667869,21.82846071,0.5049796838,0.533779526,5.909019169,1.288209034,0.355158392,0.056239166,0.548220236,1.451206174,0.772381205,0.687578242,0.638339419,0.892540385,1.649094741,6.270902907,0.475629604,10.67964042,0.03529087,0.711639582,1.532294488,0.219172792,42.04259917,6.9558444,9.692142465,0.543343882,0.437629615,0.055823708,15.84884906
"95","SA",-5,"H","R",8,"H_R",0.71410586,2.771443084,0.955732654,0.455047224,12.452909,0.5049796838,0.542851615,2.92280611,0.794121077,0.095604606,0.054132683,0.365474812,1.062080018,0.579112582,0.662103395,0.299139397,0.241320546,0.995946136,4.229808023,0.366881633,5.993033229,0.160972999166667,0.311551638,0.421597673,0.327435025,29.05726156,4.053525916,5.697469399,0.924146395,0.281811489,0.057584629,14.09976536
"96","SA",-5,"F","D",1,"F_D",0.820968571,7.539150453,1.731140352,0.597623933,15.65195216,0.386177273,0.885052373,3.836584527,0.990200289,0.483185703,0.52221238,0.202218594,1.013734255,1.552919695,2.486398863,0.912131295,0.525843173,2.379379823,6.883799231,0.786087982,5.850723891,0.156961726,0.587229367,1.159497859,1.555424736,58.04692237,6.960624047,6.908605885,1.675297448,0.593842247,0.293852874,25.96839342
"97","SA",-5,"F","D",2,"F_D",1.034917397,8.513244008,1.43271566,0.723160774,12.63837617,0.473419078,0.83142431,3.949247159,1.195914339,0.917798905,1.097074624,0.362458659,1.169156419,1.599472137,2.341752353,0.904100389,0.64989096,2.187362416,5.68302237,1.22448282,5.866983771,0.309361367,0.961354922,1.509277637,2.237745684,77.70945521,6.482364919,5.252276761,2.346480412,0.748670101,0.543348177,27.23890229
"98","SA",-5,"F","D",3,"F_D",0.665727235,7.178277499,1.361990656,0.700856294,9.935920289,0.425440427,0.71182,3.584598896,0.914737292,0.720282877,1.007050013,0.328916763,1.022594852,1.397632443,1.643589457,0.840320831,0.576068666,1.702029182,4.854869184,0.970287336,4.978827445,0.296451715,0.914655608,1.134546599,1.094137749,65.17558438,5.547009012,4.617403998,1.428142696,0.837600999,0.470118905,20.93238884
"99","SA",-5,"F","D",4,"F_D",0.543972824,7.113472286,1.231043938,0.588810505,12.44231007,0.441919644,0.578769273,3.46570533,0.847245911,0.541689474,0.410068271,0.222033638,0.877802424,1.039636403,2.024132511,0.64908435,0.31281539,1.454881992,4.96976029,0.557513041,2.705983832,0.167863731,0.505580661,0.952305466,1.168303414,68.12609457,2.974208318,4.808661413,1.624448545,0.634969438,0.316959369,24.242614
"100","SA",-5,"F","D",5,"F_D",0.938592243,6.71645321,1.334718594,0.554643699,9.798290468,0.372042243,0.75184199,3.146934026,0.655265485,0.573722015,0.437316653,0.282146033,0.829794683,1.012030389,1.783815696,0.639893121,0.337250244,1.486863447,4.064280601,0.725193116,2.830627648,0.129961864,0.506797918,0.808475686,0.69643274,67.14208315,4.130505519,4.996031055,1.492176969,0.584565986,0.39958537,18.17636239
"101","SA",-5,"F","D",6,"F_D",0.274810278,4.779150614,0.88709867,0.442913963,11.12598829,0.419799733,0.514018827,2.986156686,1.04107016,0.268471567,0.165280726,0.295975566,0.923346245,0.831357869,0.829789475,0.370992787,0.22289683,1.856250884,5.627802371,0.336545444,4.811939783,0.122932758,0.311131784,0.639377812,0.425977514,71.98371577,6.543193968,7.411666494,1.04769861,0.459412999,0.033955952,18.40391616
"102","SA",-5,"F","D",7,"F_D",0.304295881,4.374500457,1.196507398,0.471457638,10.78093938,0.419799733,0.809294707,3.072913903,0.890513657,0.237772496,0.288694455,0.297814737,0.909854437,0.914979856,1.180425695,0.338784091,0.362152499,2.370381588,6.387801091,0.36323749,3.233399289,0.157684968,0.462477172,0.845168322,1.305159084,72.76468388,5.426990679,5.563841224,1.493140888,0.520016579,0.123143749,22.08343044
"103","SA",-5,"F","D",8,"F_D",1.028940717,6.248872095,1.424732623,0.365563855,13.35352395,0.419799733,1.028397242,3.236984879,1.08189602,0.360106946,0.339490694,0.20228374,1.15780764,1.298230319,1.481592555,0.528155144,0.402337303,2.838308428,6.269559241,0.678523902,3.679337597,0.191602589857143,0.321940478,0.870259399,1.005294002,101.6727653,8.173134096,18.77861122,2.088037172,0.718829284,0.265044695,22.91058812
